"","id","fire_name","fire_year","spsm_dc","spsm_ffmc","spsm_dmc","spsm_isi","spsm_bui","spsm_fwi","area_ha","area_m2","prov","defoliated","tsd","cumltve_yrs","rbr_cv","rbr_extreme","rbr_median","slope10","slope1","slope2","pre_fire_temp","pre_fire_precip","post_fire_temp","post_fire_precip"
"75",112,"QC_101_1990",1990,221.47213423278,81.5631416747762,1.16730890295454,1.64132945950278,2.11411336209567,0.825981916717033,165.00448952051,1650044.8952051,"QC",0,0,0,0.851123753856791,425.894501811343,109.980694041938,1.70195495995484,6.20545380642782,-15.2895905079244,7.26,7182.2012,7.45,7182.2012
"76",75,"QC_101_1990",1990,221.47213423278,81.5631416747762,1.16730890295454,1.64132945950278,2.11411336209567,0.825981916717033,86.774847653389,867748.47653389,"QC",1,13,1,1.12070965271812,421.879169181463,69.9631528140113,4.69312286347787,8.46844013055535,-10.9995736209672,6.92,7089.0557,7.45,7089.0557
"77",113,"QC_65_1990",1990,252.355205382488,83.3051758983437,1.7317907313261,2.05371800592594,3.12032506023325,1.45306824173554,1019.36337389611,10193633.7389611,"QC",0,0,0,1.16447127387683,548.00388250851,75.9129037112638,2.1743989655195,-3.91655792537671,-9.27708121929366,8.99,5633.9205,9.24,5633.9205
"78",76,"QC_65_1990",1990,252.355205382488,83.3051758983437,1.7317907313261,2.05371800592594,3.12032506023325,1.45306824173554,799.12177482122,7991217.7482122,"QC",1,13,1,0.972880886992855,566.035179397295,89.9647728154863,4.162980255097,-3.02523190881751,-5.43852982053234,9.04,5637.5529,9.29,5637.5529
"79",114,"QC_444_1991",1991,304.405582407122,84.4874718056242,4.74233806619142,2.30942762089439,8.59474380787104,4.88205612072511,7.3980083109181,73980.083109181,"QC",0,0,0,0.822996395966236,177.83408610026,82.4419474203756,-1.7954686007104,-11.3736147322176,-9.74640362365007,11.7,6970.9784,11.85,6970.9784
"80",77,"QC_444_1991",1991,304.405582407122,84.4874718056242,4.74233806619142,2.30942762089439,8.59474380787104,4.88205612072511,1.4364419956877,14364.419956877,"QC",1,15,1,0.717949204909523,309.982471260942,129.718470014027,-1.47954581843943,-9.12238455487238,-10.1895991312107,11.7,6970.9784,11.85,6970.9784
"81",115,"QC_64_1991",1991,265.794948248244,83.3560719625604,2.4830306883412,2.02756707192231,4.46835454189923,2.19799038652652,464.60639611136,4646063.9611136,"QC",0,0,0,0.680810026286176,410.043747098714,253.999336957343,3.65330381055562,4.32881887889946,-11.4575618271259,9.35,6634.1941,9.34,6634.1941
"82",78,"QC_64_1991",1991,265.794948248244,83.3560719625604,2.4830306883412,2.02756707192231,4.46835454189923,2.19799038652652,39.683777778011,396837.77778011,"QC",1,14,2,0.495306094172868,397.913292664745,286.021309714836,4.56884682058443,3.29919192661837,-12.6612171076029,9.6,6595.2541,9.59,6595.2541
"83",116,"QC_81_1991",1991,252.179125740927,83.0820316880887,2.15417902232281,1.98639262052066,3.78939528558455,1.79838879829386,77.913148465356,779131.48465356,"QC",0,0,0,0.82711423695838,523.923423454189,268.042625066912,3.33595867260532,7.14866842002955,-8.90144604079087,8.89,4501.4518,8.82,4501.4518
"84",79,"QC_81_1991",1991,252.179125740927,83.0820316880887,2.15417902232281,1.98639262052066,3.78939528558455,1.79838879829386,4798.9355424924,47989355.424924,"QC",1,9,6,0.914621263995804,515.930292341397,139.935029477745,3.18045936162302,7.03062168026581,-8.2311761025422,8.72,4552.0129,8.66,4552.0129
"85",117,"QC_96_1991",1991,266.157419229415,83.9492349939287,2.15456180937184,2.26235471469405,3.85404817607048,1.93888050770937,5.6307263529519,56307.263529519,"QC",0,0,0,0.657123164756716,499.937185910598,331.871573194378,4.51991806684611,12.9703180987428,-28.2553961163063,9.04,6174.3462,9.23,6174.3462
"86",80,"QC_96_1991",1991,266.157419229415,83.9492349939287,2.15456180937184,2.26235471469405,3.85404817607048,1.93888050770937,175.37282541618,1753728.2541618,"QC",1,14,1,0.64293319173227,491.874395390085,324.024091784789,3.95278910066901,13.6516957816274,-23.565519219516,9.04,6174.3462,9.23,6174.3462
"87",118,"QC_1017_1995",1995,257.478040416927,82.9300769983588,2.42530776746912,1.91348689511854,4.2589043038393,2.07606608539788,1613.0061638473,16130061.638473,"QC",0,0,0,1.22135042039098,462.021536628119,49.9804169109933,0.653307524737658,-3.93786076187132,-6.14775592978872,8.83,7513.3134,8.98,7513.3134
"88",81,"QC_1017_1995",1995,257.478040416927,82.9300769983588,2.42530776746912,1.91348689511854,4.2589043038393,2.07606608539788,98.439622308573,984396.22308573,"QC",1,14,2,0.821386834791267,505.855138834491,249.740750680217,1.95986903435253,0.212497775416797,-6.2059450328572,8.83,7513.3134,8.98,7513.3134
